id,align,enableFill,caption,type,src,width,height,mediaType,name,pname,position
197,L,1,"Steven Frears + Phil",2,/media/image_197_thumb.jpg,88,100,jpg,preview,people,24
977,L,0,NULL,1,/media/image_977.jpg,990,600,jpg,file,cars,24
977,L,0,NULL,2,/media/image_977_thumb.jpg,88,100,jpg,preview,cars,24
837,L,0,NULL,1,/media/image_837.jpg,990,600,jpg,file,archive.cars,24
208,L,1,NULL,1,/media/image_208.jpg,990,600,jpg,file,archive.people,24
837,L,0,NULL,2,/media/image_837_thumb.jpg,88,100,jpg,preview,archive.cars,24
208,L,1,NULL,2,/media/image_208_thumb.jpg,88,100,jpg,preview,archive.people,24
424,L,0,"AGNES LUX",1,/media/image_424.jpg,990,600,jpg,file,people,25
832,L,0,NULL,1,/media/image_832.jpg,990,600,jpg,file,cars,25
424,L,0,"AGNES LUX",2,/media/image_424_thumb.jpg,88,100,jpg,preview,people,25
832,L,0,NULL,2,/media/image_832_thumb.jpg,88,100,jpg,preview,cars,25
840,L,0,NULL,1,/media/image_840.jpg,990,600,jpg,file,archive.cars,25
119,L,0,NULL,1,/media/image_119.jpg,990,600,jpg,file,archive.people,25
840,L,0,NULL,2,/media/image_840_thumb.jpg,88,100,jpg,preview,archive.cars,25
119,L,0,NULL,2,/media/image_119_thumb.jpg,88,100,jpg,preview,archive.people,25
397,L,0,NULL,1,/media/image_397.jpg,990,600,jpg,file,people,26
860,L,0,NULL,1,/media/image_860.jpg,990,600,jpg,file,cars,26
397,L,0,NULL,2,/media/image_397_thumb.jpg,88,100,jpg,preview,people,26
860,L,0,NULL,2,/media/image_860_thumb.jpg,88,100,jpg,preview,cars,26
841,L,0,NULL,1,/media/image_841.jpg,990,600,jpg,file,archive.cars,26
211,L,1,"nino cerruti+ renzo rosso",1,/media/image_211.jpg,990,600,jpg,file,archive.people,26
841,L,0,NULL,2,/media/image_841_thumb.jpg,88,100,jpg,preview,archive.cars,26
211,L,1,"nino cerruti+ renzo rosso",2,/media/image_211_thumb.jpg,88,100,jpg,preview,archive.people,26
398,R,0,"Soenke Wortmann",1,/media/image_398.jpg,990,600,jpg,file,people,27
758,L,0,NULL,1,/media/image_758.jpg,990,600,jpg,file,cars,27
398,R,0,"Soenke Wortmann",2,/media/image_398_thumb.jpg,88,100,jpg,preview,people,27
758,L,0,NULL,2,/media/image_758_thumb.jpg,88,100,jpg,preview,cars,27
846,L,0,NULL,1,/media/image_846.jpg,990,600,jpg,file,archive.cars,27
204,R,0,"MS founder",1,/media/image_204.jpg,990,600,jpg,file,archive.people,27
846,L,0,NULL,2,/media/image_846_thumb.jpg,88,100,jpg,preview,archive.cars,27
204,R,0,"MS founder",2,/media/image_204_thumb.jpg,88,100,jpg,preview,archive.people,27
480,L,0,"HIPP Dynastie",1,/media/image_480.jpg,990,600,jpg,file,people,28
710,R,0,"CGI RECOM",1,/media/image_710.jpg,990,600,jpg,file,cars,28
480,L,0,"HIPP Dynastie",2,/media/image_480_thumb.jpg,88,100,jpg,preview,people,28
710,R,0,"CGI RECOM",2,/media/image_710_thumb.jpg,88,100,jpg,preview,cars,28
793,L,0,NULL,1,/media/image_793.jpg,990,600,jpg,file,archive.cars,28
793,L,0,NULL,2,/media/image_793_thumb.jpg,88,100,jpg,preview,archive.cars,28
201,R,0,AGNES,1,/media/image_201.jpg,990,600,jpg,file,people,29
707,L,0,"thank You FARMHOUSE",1,/media/image_707.jpg,990,600,jpg,file,cars,29
201,R,0,AGNES,2,/media/image_201_thumb.jpg,88,100,jpg,preview,people,29
707,L,0,"thank You FARMHOUSE",2,/media/image_707_thumb.jpg,88,100,jpg,preview,cars,29
964,L,0,NULL,1,/media/image_964.jpg,990,600,jpg,file,archive.cars,29
964,L,0,NULL,2,/media/image_964_thumb.jpg,88,100,jpg,preview,archive.cars,29
423,L,0,"KODAK Portra 400NC",1,/media/image_423.jpg,990,600,jpg,file,people,30
802,L,0,NULL,1,/media/image_802.jpg,990,600,jpg,file,cars,30
423,L,0,"KODAK Portra 400NC",2,/media/image_423_thumb.jpg,88,100,jpg,preview,people,30
802,L,0,NULL,2,/media/image_802_thumb.jpg,88,100,jpg,preview,cars,30
403,L,0,"TEL AVIV 2011",1,/media/image_403.jpg,990,600,jpg,file,archive.cars,30
403,L,0,"TEL AVIV 2011",2,/media/image_403_thumb.jpg,88,100,jpg,preview,archive.cars,30
528,L,1,"KODAK  Portra 160NC",1,/media/image_528.jpg,990,600,jpg,file,people,31
528,L,1,"KODAK  Portra 160NC",2,/media/image_528_thumb.jpg,88,100,jpg,preview,people,31
961,L,0,NULL,1,/media/image_961.jpg,990,600,jpg,file,cars,31
405,L,0,"thank You Asa, Ron,Alon",1,/media/image_405.jpg,990,600,jpg,file,archive.cars,31
961,L,0,NULL,2,/media/image_961_thumb.jpg,88,100,jpg,preview,cars,31
405,L,0,"thank You Asa, Ron,Alon",2,/media/image_405_thumb.jpg,88,100,jpg,preview,archive.cars,31
960,L,1,NULL,1,/media/image_960.jpg,990,600,jpg,file,cars,32
381,L,0,"PORSCHE BLACK EDITION, Tel Aviv 2011",1,/media/image_381.jpg,990,600,jpg,file,archive.cars,32
960,L,1,NULL,2,/media/image_960_thumb.jpg,88,100,jpg,preview,cars,32
381,L,0,"PORSCHE BLACK EDITION, Tel Aviv 2011",2,/media/image_381_thumb.jpg,88,100,jpg,preview,archive.cars,32
956,L,0,NULL,1,/media/image_956.jpg,990,600,jpg,file,cars,33
956,L,0,NULL,2,/media/image_956_thumb.jpg,88,100,jpg,preview,cars,33
627,L,0,"Ron Arad Architects",1,/media/image_627.jpg,990,600,jpg,file,archive.cars,33
627,L,0,"Ron Arad Architects",2,/media/image_627_thumb.jpg,88,100,jpg,preview,archive.cars,33
807,L,0,"missing Davide",1,/media/image_807.jpg,990,600,jpg,file,cars,34
807,L,0,"missing Davide",2,/media/image_807_thumb.jpg,88,100,jpg,preview,cars,34
415,L,0,,1,/media/image_415.jpg,990,600,jpg,file,archive.cars,34
415,L,0,,2,/media/image_415_thumb.jpg,88,100,jpg,preview,archive.cars,34
928,L,0,NULL,1,/media/image_928.jpg,990,600,jpg,file,cars,35
928,L,0,NULL,2,/media/image_928_thumb.jpg,88,100,jpg,preview,cars,35
944,L,0,NULL,1,/media/image_944.jpg,990,600,jpg,file,archive.cars,35
944,L,0,NULL,2,/media/image_944_thumb.jpg,88,100,jpg,preview,archive.cars,35
930,L,0,NULL,1,/media/image_930.jpg,990,600,jpg,file,cars,36
930,L,0,NULL,2,/media/image_930_thumb.jpg,88,100,jpg,preview,cars,36
942,L,0,NULL,1,/media/image_942.jpg,990,600,jpg,file,archive.cars,36
942,L,0,NULL,2,/media/image_942_thumb.jpg,88,100,jpg,preview,archive.cars,36
931,L,0,NULL,1,/media/image_931.jpg,990,600,jpg,file,cars,37
931,L,0,NULL,2,/media/image_931_thumb.jpg,88,100,jpg,preview,cars,37
711,L,0,,1,/media/image_711.jpg,990,600,jpg,file,archive.cars,37
711,L,0,,2,/media/image_711_thumb.jpg,88,100,jpg,preview,archive.cars,37
927,L,0,NULL,1,/media/image_927.jpg,990,600,jpg,file,cars,38
927,L,0,NULL,2,/media/image_927_thumb.jpg,88,100,jpg,preview,cars,38
691,L,0,"klick on arrows or scroll with arrow keys on keyboard",1,/media/image_691.jpg,990,600,jpg,file,archive.cars,38
691,L,0,"klick on arrows or scroll with arrow keys on keyboard",2,/media/image_691_thumb.jpg,88,100,jpg,preview,archive.cars,38
951,L,0,NULL,1,/media/image_951.jpg,990,600,jpg,file,cars,39
951,L,0,NULL,2,/media/image_951_thumb.jpg,88,100,jpg,preview,cars,39
